
,YEAR,"2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012"
"Denmark","ICT 1: Proportion of total business sector workforce involved in the ICT sector","..","..",6.76,"..",7.0473478629,"..",10.41,7.1,7.31,7.26,".."
"Denmark","ICT 2: Value added in the ICT sector as a percentage of total business sector value added","..","..",8.32,"..",7.9332692612,"..",11.25,8.93,8.42,8.289999999999999,".."
"Egypt","ICT 1: Proportion of total business sector workforce involved in the ICT sector","..","..","..","..",5.62,"..","..",7.64,"..","..",".."
"Egypt","ICT 2: Value added in the ICT sector as a percentage of total business sector value added","..","..","..","..","..","..","..","..","..","..",".."
"Estonia","ICT 1: Proportion of total business sector workforce involved in the ICT sector","..","..",4.25,"..","..","..",4.28,4.7,4.81,4.97,5.02
"Estonia","ICT 2: Value added in the ICT sector as a percentage of total business sector value added","..","..",9.77,"..","..","..",7.82,9.050000000000001,8.58,8.51,7.93
"Finland","ICT 1: Proportion of total business sector workforce involved in the ICT sector","..","..",10.41,"..",9.8036876481,"..",8.050000000000001,7.96,7.69,7.12,7.22
"Finland","ICT 2: Value added in the ICT sector as a percentage of total business sector value added","..","..",15.15,"..",14.7848915442,"..",13.09,10.27,10.22,8.609999999999999,7.34
"France","ICT 1: Proportion of total business sector workforce involved in the ICT sector","..","..",7.09,6.5382522687,"..","..",6.02,5.76,5.7,5.75,".."
"France","ICT 2: Value added in the ICT sector as a percentage of total business sector value added","..","..",10.52,"..",7.920834747,"..",8.08,8.32,8.08,8.130000000000001,".."
"Germany","ICT 1: Proportion of total business sector workforce involved in the ICT sector","..","..",5.3,"..",5.5858685679,"..",4.58,4.3,4.12,4.18,4.16
"Germany","ICT 2: Value added in the ICT sector as a percentage of total business sector value added","..","..",9.23,"..",6.9210807591,"..",7.2,7.47,6.97,7.08,7.13
"Greece","ICT 1: Proportion of total business sector workforce involved in the ICT sector","..","..",3.9,2.9768217833,"..","..",3.76,"..",3.52,"..",".."
"Greece","ICT 2: Value added in the ICT sector as a percentage of total business sector value added","..","..",8.9,5.9445591924,"..","..",7.24,"..",6.27,"..",".."
"Hungary","ICT 1: Proportion of total business sector workforce involved in the ICT sector","..","..",6.27,"..",6.3321031553,"..",5.63,5.78,6.17,6.32,6.27
"Hungary","ICT 2: Value added in the ICT sector as a percentage of total business sector value added","..","..",14.11,"..",10.9488842472,"..",10.55,10.83,10.3,10.61,10.43
"Iceland","ICT 1: Proportion of total business sector workforce involved in the ICT sector","..","..",5.92,6.2,"..","..","..","..","..","..",".."
"Iceland","ICT 2: Value added in the ICT sector as a percentage of total business sector value added","..","..","..",7.29,"..","..",5.7475834102,"..","..","..",".."
"India","ICT 1: Proportion of total business sector workforce involved in the ICT sector","..","..","..","..","..","..","..","..","..","..",".."
"India","ICT 2: Value added in the ICT sector as a percentage of total business sector value added","..","..","..","..","..","..",7.4,"..","..","..",".."
"Ireland","ICT 1: Proportion of total business sector workforce involved in the ICT sector","..","..",4.8,"..",8.325771743500001,"..",7.4934318357,"..","..","..",".."
"Ireland","ICT 2: Value added in the ICT sector as a percentage of total business sector value added","..","..",5.8,"..",12.1448413338,"..",13.043948395,"..","..","..",".."
"Israel","ICT 1: Proportion of total business sector workforce involved in the ICT sector","..","..","..","..",8.4,8.619999999999999,"..",8.485799999999999,"..",8.77,8.52
"Israel","ICT 2: Value added in the ICT sector as a percentage of total business sector value added","..","..","..","..",16.75,16.33,"..",14.7217,"..",15.78,14.81
"Italy","ICT 1: Proportion of total business sector workforce involved in the ICT sector","..","..",5.06,"..",6.320938585,"..",4.52,"..","..",4.67,".."
"Italy","ICT 2: Value added in the ICT sector as a percentage of total business sector value added","..","..",9.42,"..",7.480059565,"..",7.23,"..","..",7.27,".."
"Japan","ICT 1: Proportion of total business sector workforce involved in the ICT sector","..","..",6.81,6.75,6.78,6.91,7.12,7.29,6.8,6.95,".."
"Japan","ICT 2: Value added in the ICT sector as a percentage of total business sector value added","..","..","..",12.4,12.73,12.64,12.85,13.18,10.56,10.55,".."
"Jordan","ICT 1: Proportion of total business sector workforce involved in the ICT sector","..","..","..","..","..","..",3.63,"..","..","..",".."
"Jordan","ICT 2: Value added in the ICT sector as a percentage of total business sector value added","..","..","..","..","..","..","..","..","..","..",".."
"Kazakhstan","ICT 1: Proportion of total business sector workforce involved in the ICT sector","..","..","..","..","..",4.5,1.92,"..","..","..",".."
"Kazakhstan","ICT 2: Value added in the ICT sector as a percentage of total business sector value added","..","..","..","..",6.31,"..","..","..","..","..",".."
"Korea, Republic of","ICT 1: Proportion of total business sector workforce involved in the ICT sector","..",11.44,"..","..",6.1781273949,"..",6.1049592472,"..","..","..",".."
"Korea, Republic of","ICT 2: Value added in the ICT sector as a percentage of total business sector value added","..","..","..","..",13.6865788741,"..",12.1866905653,"..","..","..",".."
"Latvia","ICT 1: Proportion of total business sector workforce involved in the ICT sector","..","..",2.91,2.96,"..","..",2.83,3.24,3.33,3.6,3.9
"Latvia","ICT 2: Value added in the ICT sector as a percentage of total business sector value added","..","..",10.2,9.039999999999999,"..","..","..",7.84,7.4,7.38,7.45
"Lithuania","ICT 1: Proportion of total business sector workforce involved in the ICT sector","..","..",4.38,"..","..","..",2.36,"..",3.04,3.11,3.17
"Lithuania","ICT 2: Value added in the ICT sector as a percentage of total business sector value added","..","..",9.390000000000001,"..","..","..",4.91,"..",6.44,5.94,6.14
"Luxembourg","ICT 1: Proportion of total business sector workforce involved in the ICT sector","..",3.53,"..","..","..","..",5.9582509953,"..","..","..",".."
"Luxembourg","ICT 2: Value added in the ICT sector as a percentage of total business sector value added","..",9.24,"..","..","..","..",6.9534883883,"..","..","..",".."
"Malaysia","ICT 1: Proportion of total business sector workforce involved in the ICT sector","..","..",6.86,7.27,"..",7.11,"..","..","..","..",".."
"Malaysia","ICT 2: Value added in the ICT sector as a percentage of total business sector value added","..","..","..",13.06,"..",12.12,"..","..","..","..",".."
"Malta","ICT 1: Proportion of total business sector workforce involved in the ICT sector",5.01,"..","..","..","..","..",7.46,7.21,7,7.49,".."
"Malta","ICT 2: Value added in the ICT sector as a percentage of total business sector value added",8.74,"..","..","..","..","..",12.19,11.36,13.3,15.89,".."
"Mauritius","ICT 1: Proportion of total business sector workforce involved in the ICT sector","..","..","..","..",4.21,5.18,5.65,"..",6.57,5.44,".."
"Mauritius","ICT 2: Value added in the ICT sector as a percentage of total business sector value added","..","..","..","..",7.1,7.2,6.92,"..",8.75,8.880000000000001,".."
"Mexico","ICT 1: Proportion of total business sector workforce involved in the ICT sector","..","..","..","..","..",2.37,2.24,2.18,"..","..",".."
"Mexico","ICT 2: Value added in the ICT sector as a percentage of total business sector value added","..","..","..","..","..",4.36,4.03,4.47,"..","..",".."
"Mongolia","ICT 1: Proportion of total business sector workforce involved in the ICT sector","..","..","..","..",2.4,"..","..","..","..","..",".."
"Mongolia","ICT 2: Value added in the ICT sector as a percentage of total business sector value added","..","..","..","..","..",0.91,"..","..","..","..",".."
"Netherlands","ICT 1: Proportion of total business sector workforce involved in the ICT sector","..","..",5.82,"..",6.3075430354,"..",6.22,6.24,6.15,6.17,".."
"Netherlands","ICT 2: Value added in the ICT sector as a percentage of total business sector value added","..","..",6.8,"..",9.1992484606,"..",8.7804113813,"..","..","..",".."
"New Zealand","ICT 1: Proportion of total business sector workforce involved in the ICT sector","..","..","..","..",3.36,"..",3.32,"..",2.15,"..",".."
"New Zealand","ICT 2: Value added in the ICT sector as a percentage of total business sector value added","..","..","..",6.76,"..",5.07,5.28,"..","..","..",".."
"Norway","ICT 1: Proportion of total business sector workforce involved in the ICT sector","..","..",5.36,"..",5.8892215757,"..",6.2379711239,5.77,6.01,6.01,6.16
"Norway","ICT 2: Value added in the ICT sector as a percentage of total business sector value added","..","..",11.84,"..",8.3446606905,"..",8.2100038553,5.35,5.42,4.96,4.97
"Oman","ICT 1: Proportion of total business sector workforce involved in the ICT sector","..","..","..","..","..","..","..","..","..",1.48,".."
"Oman","ICT 2: Value added in the ICT sector as a percentage of total business sector value added","..","..","..","..","..","..","..","..","..","..",".."
"Panama","ICT 1: Proportion of total business sector workforce involved in the ICT sector","..","..","..","..",2.66,"..","..","..","..","..",".."
"Panama","ICT 2: Value added in the ICT sector as a percentage of total business sector value added","..","..","..","..","..","..","..","..","..","..",".."
"Poland","ICT 1: Proportion of total business sector workforce involved in the ICT sector","..","..",2.35,"..","..","..","..","..","..",3.15,3.3
"Poland","ICT 2: Value added in the ICT sector as a percentage of total business sector value added","..","..",3.04,"..","..","..",5.6830291762,5.77,6.09,6.14,6.25
"Portugal","ICT 1: Proportion of total business sector workforce involved in the ICT sector","..","..",2.6,2.594620534,"..",2.9868632069,2.36,2.56,2.64,2.84,3.1
"Portugal","ICT 2: Value added in the ICT sector as a percentage of total business sector value added","..","..",3.87,7.0702795738,7.2000144336,"..",6.76,6.92,7.07,7.1,7.4
"Romania","ICT 1: Proportion of total business sector workforce involved in the ICT sector","..","..",2.74,3,"..","..",3.25,3.37,3.56,3.65,3.8
"Romania","ICT 2: Value added in the ICT sector as a percentage of total business sector value added","..","..",9.09,9.84,"..","..",7.07,8,7.54,7.46,7.7
"Russian Federation","ICT 1: Proportion of total business sector workforce involved in the ICT sector","..","..","..",4.38,4.86,4.59,4.61,"..","..","..",".."
"Russian Federation","ICT 2: Value added in the ICT sector as a percentage of total business sector value added","..","..",3.98,5.07,4.83,5.05,4.89,"..","..","..",".."
"Singapore","ICT 1: Proportion of total business sector workforce involved in the ICT sector","..","..","..","..","..",2.44,4.46,4.59,4.5,"..",".."
"Singapore","ICT 2: Value added in the ICT sector as a percentage of total business sector value added","..","..","..","..","..","..","..","..","..","..",".."
"Slovakia","ICT 1: Proportion of total business sector workforce involved in the ICT sector","..","..",6.48,"..","..","..",5.28,5.92,5.94,4.8,".."
"Slovakia","ICT 2: Value added in the ICT sector as a percentage of total business sector value added","..","..",10.01,"..","..","..",10.79,9.98,9.15,8.609999999999999,".."
"Slovenia","ICT 1: Proportion of total business sector workforce involved in the ICT sector","..","..",3.41,"..","..","..","..","..","..","..",".."
"Slovenia","ICT 2: Value added in the ICT sector as a percentage of total business sector value added","..","..",4.63,"..","..","..",5.73,"..",6.38,6.3,6.53
"Spain","ICT 1: Proportion of total business sector workforce involved in the ICT sector","..","..",3.89,"..",3.9031638042,"..",3.47,3.75,3.94,4.68,4.37
"Spain","ICT 2: Value added in the ICT sector as a percentage of total business sector value added","..","..","..",8.140000000000001,6.7452438057,"..",6.33,7.14,7.09,8.01,7.3
"State of Palestine","ICT 1: Proportion of total business sector workforce involved in the ICT sector","..","..","..","..","..","..","..","..","..",1.37,".."
"State of Palestine","ICT 2: Value added in the ICT sector as a percentage of total business sector value added","..","..","..","..","..","..","..","..","..",11.26,".."
"Sweden","ICT 1: Proportion of total business sector workforce involved in the ICT sector","..","..",8.41,8.7336807757,"..","..",8.3881260868,7.82,7.66,"..",".."
"Sweden","ICT 2: Value added in the ICT sector as a percentage of total business sector value added","..","..",11.76,10.782464379,"..","..",10.3749392706,10.16,10.15,"..",".."
"Switzerland","ICT 1: Proportion of total business sector workforce involved in the ICT sector","..","..","..",5.04,"..",5.05,5.33,"..",5.5,5.59,5.92
"Switzerland","ICT 2: Value added in the ICT sector as a percentage of total business sector value added","..","..","..","..","..","..",7.48,"..",7.72,7.8,7.49
"TFYR of Macedonia","ICT 1: Proportion of total business sector workforce involved in the ICT sector","..","..","..","..","..","..","..","..","..",2.41,".."
"TFYR of Macedonia","ICT 2: Value added in the ICT sector as a percentage of total business sector value added","..","..","..","..","..","..","..","..","..",8.390000000000001,".."
"Thailand","ICT 1: Proportion of total business sector workforce involved in the ICT sector","..","..","..","..",3.03,3.2,"..","..","..","..",".."
"Thailand","ICT 2: Value added in the ICT sector as a percentage of total business sector value added","..","..","..","..","..","..","..","..","..","..",".."
"Tunisia","ICT 1: Proportion of total business sector workforce involved in the ICT sector","..","..","..","..","..","..","..","..","..","..",".."
"Tunisia","ICT 2: Value added in the ICT sector as a percentage of total business sector value added","..","..","..","..","..","..","..",5.68,"..","..",".."
"United Kingdom","ICT 1: Proportion of total business sector workforce involved in the ICT sector","..","..",6.97,"..",4.8512752941,"..",5.87,5.82,6.02,6.12,5.85
"United Kingdom","ICT 2: Value added in the ICT sector as a percentage of total business sector value added","..","..","..",12.06,"..","..",9.869999999999999,"..",9.65,"..",".."
"United States","ICT 1: Proportion of total business sector workforce involved in the ICT sector","..","..","..","..","..",3.91,4.03,4.05,"..","..",".."
"United States","ICT 2: Value added in the ICT sector as a percentage of total business sector value added","..","..","..","..","..",5.09,4.91,5.27,"..","..",".."
"Uruguay","ICT 1: Proportion of total business sector workforce involved in the ICT sector","..","..","..",4.93,"..",2.93,"..","..",5.11,"..",".."
"Uruguay","ICT 2: Value added in the ICT sector as a percentage of total business sector value added","..","..","..","..","..",10.47,"..","..",9.34,"..",".."
